Start Date,Value(Kwh),Day of the week,Day
07/03/20 00:00,1.313,5,Friday
07/03/20 01:00,2.004,5,Friday
07/03/20 02:00,1.195,5,Friday
07/03/20 03:00,1.177,5,Friday
07/03/20 04:00,0.853,5,Friday
07/03/20 05:00,1.027,5,Friday
07/03/20 06:00,0.62,5,Friday
07/03/20 07:00,0.619,5,Friday
07/03/20 08:00,0.696,5,Friday
07/03/20 09:00,0.311,5,Friday
07/03/20 10:00,0.439,5,Friday
07/03/20 11:00,1.041,5,Friday
07/03/20 12:00,1.381,5,Friday
07/03/20 13:00,2.043,5,Friday
07/03/20 14:00,2.818,5,Friday
07/03/20 15:00,2.706,5,Friday
07/03/20 16:00,2.974,5,Friday
07/03/20 17:00,3.302,5,Friday
07/03/20 18:00,1.738,5,Friday
07/03/20 19:00,3.294,5,Friday
07/03/20 20:00,2.997,5,Friday
07/03/20 21:00,1.78,5,Friday
07/03/20 22:00,1.77,5,Friday
07/03/20 23:00,1.561,5,Friday
07/04/20 00:00,0.807,1,Monday
07/04/20 01:00,1.212,1,Monday
07/04/20 02:00,1.362,1,Monday
07/04/20 03:00,1.313,1,Monday
07/04/20 04:00,0.849,1,Monday
07/04/20 05:00,0.91,1,Monday
07/04/20 06:00,0.664,1,Monday
07/04/20 07:00,0.651,1,Monday
07/04/20 08:00,0.289,1,Monday
07/04/20 09:00,0.365,1,Monday
07/04/20 10:00,0.388,1,Monday
07/04/20 11:00,0.43,1,Monday
07/04/20 12:00,1.567,1,Monday
07/04/20 13:00,2.9,1,Monday
07/04/20 14:00,2.915,1,Monday
07/04/20 15:00,3.763,1,Monday
07/04/20 16:00,3.213,1,Monday
07/04/20 17:00,3.456,1,Monday
07/04/20 18:00,1.382,1,Monday
07/04/20 19:00,0.371,1,Monday
07/04/20 20:00,2.048,1,Monday
07/04/20 21:00,3.096,1,Monday
07/04/20 22:00,2.402,1,Monday
07/04/20 23:00,1.718,1,Monday
07/05/20 00:00,1.804,3,Wednesday
07/05/20 01:00,1.987,3,Wednesday
07/05/20 02:00,1.231,3,Wednesday
07/05/20 03:00,1.391,3,Wednesday
07/05/20 04:00,1.086,3,Wednesday
07/05/20 05:00,0.714,3,Wednesday
07/05/20 06:00,0.741,3,Wednesday
07/05/20 07:00,1.039,3,Wednesday
07/05/20 08:00,0.274,3,Wednesday
07/05/20 09:00,0.397,3,Wednesday
07/05/20 10:00,0.436,3,Wednesday
07/05/20 11:00,0.929,3,Wednesday
07/05/20 12:00,0.795,3,Wednesday
07/05/20 13:00,0.967,3,Wednesday
07/05/20 14:00,3.89,3,Wednesday
07/05/20 15:00,3.467,3,Wednesday
07/05/20 16:00,2.922,3,Wednesday
07/05/20 17:00,2.517,3,Wednesday
07/05/20 18:00,1.113,3,Wednesday
07/05/20 19:00,0.888,3,Wednesday
07/05/20 20:00,1.771,3,Wednesday
07/05/20 21:00,2.4,3,Wednesday
07/05/20 22:00,2.24,3,Wednesday
07/05/20 23:00,1.566,3,Wednesday
07/06/20 00:00,1.769,6,Saturday
07/06/20 01:00,1.404,6,Saturday
07/06/20 02:00,1.034,6,Saturday
07/06/20 03:00,2.028,6,Saturday
07/06/20 04:00,1.224,6,Saturday
07/06/20 05:00,0.991,6,Saturday
07/06/20 06:00,1.101,6,Saturday
07/06/20 07:00,1.024,6,Saturday
07/06/20 08:00,0.779,6,Saturday
07/06/20 09:00,0.836,6,Saturday
07/06/20 10:00,0.411,6,Saturday
07/06/20 11:00,2.37,6,Saturday
07/06/20 12:00,2.339,6,Saturday
07/06/20 13:00,2.469,6,Saturday
07/06/20 14:00,2.587,6,Saturday
07/06/20 15:00,2.456,6,Saturday
07/06/20 16:00,2.636,6,Saturday
07/06/20 17:00,2.525,6,Saturday
07/06/20 18:00,1.115,6,Saturday
07/06/20 19:00,0.818,6,Saturday
07/06/20 20:00,1.975,6,Saturday
07/06/20 21:00,2.361,6,Saturday
07/06/20 22:00,2.156,6,Saturday
07/06/20 23:00,1.492,6,Saturday
07/07/20 00:00,1.601,1,Monday
07/07/20 01:00,1.147,1,Monday
07/07/20 02:00,1.992,1,Monday
07/07/20 03:00,1.104,1,Monday
07/07/20 04:00,1.072,1,Monday
07/07/20 05:00,0.94,1,Monday
07/07/20 06:00,0.927,1,Monday
07/07/20 07:00,0.597,1,Monday
07/07/20 08:00,0.755,1,Monday
07/07/20 09:00,0.434,1,Monday
07/07/20 10:00,0.403,1,Monday
07/07/20 11:00,0.452,1,Monday
07/07/20 12:00,0.393,1,Monday
07/07/20 13:00,2.923,1,Monday
07/07/20 14:00,3.212,1,Monday
07/07/20 15:00,2.985,1,Monday
07/07/20 16:00,2.995,1,Monday
07/07/20 17:00,2.93,1,Monday
07/07/20 18:00,1.296,1,Monday
07/07/20 19:00,1.307,1,Monday
07/07/20 20:00,2.872,1,Monday
07/07/20 21:00,2.138,1,Monday
07/07/20 22:00,2.199,1,Monday
07/07/20 23:00,1.809,1,Monday
